turn, assassin, algorithm, data, seed
5, True, 1, AI_dataset\cosine_sim_mat.npz, 684123719
6, False, 1, AI_dataset\cosine_sim_mat.npz, 2071527080
4, False, 1, AI_dataset\cosine_sim_mat.npz, 791206870
4, False, 1, AI_dataset\cosine_sim_mat.npz, 168148855
4, False, 1, AI_dataset\cosine_sim_mat.npz, 2098176411
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1552589868
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1791959010
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1640505439
6, False, 1, AI_dataset\cosine_sim_mat.npz, 59213283
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1316328535
4, False, 1, AI_dataset\cosine_sim_mat.npz, 528326654
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1847041927
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1074861101
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1014755017
4, False, 1, AI_dataset\cosine_sim_mat.npz, 491726963
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1124371902
5, False, 1, AI_dataset\cosine_sim_mat.npz, 1454052902
8, False, 1, AI_dataset\cosine_sim_mat.npz, 1325849314
3, False, 1, AI_dataset\cosine_sim_mat.npz, 857913520
1, False, 1, AI_dataset\cosine_sim_mat.npz, 586881948
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1147692259
6, False, 1, AI_dataset\cosine_sim_mat.npz, 326250681
7, False, 1, AI_dataset\cosine_sim_mat.npz, 1700809719
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1514902956
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1605514246
4, False, 1, AI_dataset\cosine_sim_mat.npz, 405277696
6, False, 1, AI_dataset\cosine_sim_mat.npz, 1646547686
4, False, 1, AI_dataset\cosine_sim_mat.npz, 229125495
8, False, 1, AI_dataset\cosine_sim_mat.npz, 1636091947
5, False, 1, AI_dataset\cosine_sim_mat.npz, 2407312
4, False, 1, AI_dataset\cosine_sim_mat.npz, 1210288894
3, False, 1, AI_dataset\cosine_sim_mat.npz, 1382904242
4, False, 1, AI_dataset\cosine_sim_mat.npz, 2027607240
6, False, 1, AI_dataset\cosine_sim_mat.npz, 242373123
6, False, 1, AI_dataset\cosine_sim_mat.npz, 609133362
4, False, 1, AI_dataset\cosine_sim_mat.npz, 2119193190
