,turn,assassin,algorithm,data,seed,cb,ci
0,6,0,1,AI_dataset\wup_sim_mat.npz,976493170,0.8,0.0
1,3,1,1,AI_dataset\wup_sim_mat.npz,1898010485,0.8,0.0
2,5,0,1,AI_dataset\wup_sim_mat.npz,903915198,0.8,0.0
3,3,1,1,AI_dataset\wup_sim_mat.npz,154761663,0.8,0.0
4,6,0,1,AI_dataset\wup_sim_mat.npz,2083664959,0.8,0.0
5,3,1,1,AI_dataset\wup_sim_mat.npz,743724488,0.8,0.0
6,4,1,1,AI_dataset\wup_sim_mat.npz,1189909554,0.8,0.0
7,7,0,1,AI_dataset\wup_sim_mat.npz,1553310154,0.8,0.0
8,5,0,1,AI_dataset\wup_sim_mat.npz,650694728,0.8,0.0
9,6,0,1,AI_dataset\wup_sim_mat.npz,1874798004,0.8,0.0
10,5,0,1,AI_dataset\wup_sim_mat.npz,1839367726,0.8,0.0
11,6,1,1,AI_dataset\wup_sim_mat.npz,224504061,0.8,0.0
12,7,1,1,AI_dataset\wup_sim_mat.npz,1668885673,0.8,0.0
13,6,0,1,AI_dataset\wup_sim_mat.npz,592020510,0.8,0.0
14,4,1,1,AI_dataset\wup_sim_mat.npz,639431775,0.8,0.0
15,6,0,1,AI_dataset\wup_sim_mat.npz,2055405236,0.8,0.0
16,4,1,1,AI_dataset\wup_sim_mat.npz,231872003,0.8,0.0
17,7,0,1,AI_dataset\wup_sim_mat.npz,233760283,0.8,0.0
18,2,1,1,AI_dataset\wup_sim_mat.npz,1130850212,0.8,0.0
19,3,1,1,AI_dataset\wup_sim_mat.npz,333423813,0.8,0.0
20,8,0,1,AI_dataset\wup_sim_mat.npz,1982344195,0.8,0.0
21,5,0,1,AI_dataset\wup_sim_mat.npz,1830143886,0.8,0.0
22,2,1,1,AI_dataset\wup_sim_mat.npz,155096627,0.8,0.0
23,6,1,1,AI_dataset\wup_sim_mat.npz,1016797524,0.8,0.0
24,3,1,1,AI_dataset\wup_sim_mat.npz,1769986019,0.8,0.0
25,5,1,1,AI_dataset\wup_sim_mat.npz,238922116,0.8,0.0
26,4,0,1,AI_dataset\wup_sim_mat.npz,1614316044,0.8,0.0
27,3,1,1,AI_dataset\wup_sim_mat.npz,736948582,0.8,0.0
28,3,0,1,AI_dataset\wup_sim_mat.npz,507888607,0.8,0.0
29,4,0,1,AI_dataset\wup_sim_mat.npz,878427418,0.8,0.0
30,4,1,1,AI_dataset\wup_sim_mat.npz,1355625463,0.8,0.0
31,7,0,1,AI_dataset\wup_sim_mat.npz,1556239959,0.8,0.0
32,5,1,1,AI_dataset\wup_sim_mat.npz,1150815332,0.8,0.0
33,4,0,1,AI_dataset\wup_sim_mat.npz,1430297212,0.8,0.0
34,5,1,1,AI_dataset\wup_sim_mat.npz,758589409,0.8,0.0
35,8,0,1,AI_dataset\wup_sim_mat.npz,1904640645,0.8,0.0
36,6,1,1,AI_dataset\wup_sim_mat.npz,969437725,0.8,0.0
37,1,1,1,AI_dataset\wup_sim_mat.npz,451886063,0.8,0.0
38,5,0,1,AI_dataset\wup_sim_mat.npz,2139802173,0.8,0.0
39,7,0,1,AI_dataset\wup_sim_mat.npz,705582344,0.8,0.0
40,8,0,1,AI_dataset\wup_sim_mat.npz,1632436846,0.8,0.0
41,2,1,1,AI_dataset\wup_sim_mat.npz,2141207134,0.8,0.0
42,9,0,1,AI_dataset\wup_sim_mat.npz,1097799373,0.8,0.0
43,4,0,1,AI_dataset\wup_sim_mat.npz,775363239,0.8,0.0
44,6,0,1,AI_dataset\wup_sim_mat.npz,409253677,0.8,0.0
45,3,0,1,AI_dataset\wup_sim_mat.npz,1283367613,0.8,0.0
46,6,1,1,AI_dataset\wup_sim_mat.npz,1532135717,0.8,0.0
47,7,0,1,AI_dataset\wup_sim_mat.npz,712825958,0.8,0.0
48,2,1,1,AI_dataset\wup_sim_mat.npz,800942480,0.8,0.0
49,7,1,1,AI_dataset\wup_sim_mat.npz,1088640420,0.8,0.0
50,5,1,1,AI_dataset\wup_sim_mat.npz,1538431233,0.8,0.0
51,6,1,1,AI_dataset\wup_sim_mat.npz,136528092,0.8,0.0
52,5,1,1,AI_dataset\wup_sim_mat.npz,1400503354,0.8,0.0
53,6,1,1,AI_dataset\wup_sim_mat.npz,1650611845,0.8,0.0
54,5,0,1,AI_dataset\wup_sim_mat.npz,1740998370,0.8,0.0
55,6,0,1,AI_dataset\wup_sim_mat.npz,1764071187,0.8,0.0
56,5,0,1,AI_dataset\wup_sim_mat.npz,1078803046,0.8,0.0
57,6,0,1,AI_dataset\wup_sim_mat.npz,1967073755,0.8,0.0
58,3,1,1,AI_dataset\wup_sim_mat.npz,1600643225,0.8,0.0
59,6,1,1,AI_dataset\wup_sim_mat.npz,404726215,0.8,0.0
60,6,0,1,AI_dataset\wup_sim_mat.npz,1865236308,0.8,0.0
61,7,0,1,AI_dataset\wup_sim_mat.npz,1230070776,0.8,0.0
62,6,1,1,AI_dataset\wup_sim_mat.npz,305601157,0.8,0.0
63,4,1,1,AI_dataset\wup_sim_mat.npz,175956490,0.8,0.0
64,2,1,1,AI_dataset\wup_sim_mat.npz,2061913144,0.8,0.0
65,5,1,1,AI_dataset\wup_sim_mat.npz,1720097726,0.8,0.0
66,4,0,1,AI_dataset\wup_sim_mat.npz,320833972,0.8,0.0
67,5,1,1,AI_dataset\wup_sim_mat.npz,916290066,0.8,0.0
68,5,1,1,AI_dataset\wup_sim_mat.npz,238832035,0.8,0.0
69,6,0,1,AI_dataset\wup_sim_mat.npz,676410673,0.8,0.0
70,2,1,1,AI_dataset\wup_sim_mat.npz,351452732,0.8,0.0
71,8,0,1,AI_dataset\wup_sim_mat.npz,969426297,0.8,0.0
72,6,0,1,AI_dataset\wup_sim_mat.npz,712793384,0.8,0.0
73,5,1,1,AI_dataset\wup_sim_mat.npz,237034194,0.8,0.0
74,5,0,1,AI_dataset\wup_sim_mat.npz,1062517349,0.8,0.0
75,1,1,1,AI_dataset\wup_sim_mat.npz,1423437966,0.8,0.0
76,5,0,1,AI_dataset\wup_sim_mat.npz,1022195236,0.8,0.0
77,7,0,1,AI_dataset\wup_sim_mat.npz,1646262174,0.8,0.0
78,5,0,1,AI_dataset\wup_sim_mat.npz,1026683402,0.8,0.0
79,5,0,1,AI_dataset\wup_sim_mat.npz,2061031886,0.8,0.0
80,2,1,1,AI_dataset\wup_sim_mat.npz,290829504,0.8,0.0
81,4,1,1,AI_dataset\wup_sim_mat.npz,106818500,0.8,0.0
82,4,1,1,AI_dataset\wup_sim_mat.npz,851573124,0.8,0.0
83,5,1,1,AI_dataset\wup_sim_mat.npz,943988437,0.8,0.0
84,6,0,1,AI_dataset\wup_sim_mat.npz,1754670034,0.8,0.0
85,6,0,1,AI_dataset\wup_sim_mat.npz,459086351,0.8,0.0
86,6,1,1,AI_dataset\wup_sim_mat.npz,1838465015,0.8,0.0
87,4,1,1,AI_dataset\wup_sim_mat.npz,1459443395,0.8,0.0
88,3,1,1,AI_dataset\wup_sim_mat.npz,352791198,0.8,0.0
89,5,1,1,AI_dataset\wup_sim_mat.npz,1035742282,0.8,0.0
90,2,1,1,AI_dataset\wup_sim_mat.npz,1055568612,0.8,0.0
91,6,0,1,AI_dataset\wup_sim_mat.npz,1085044329,0.8,0.0
92,4,0,1,AI_dataset\wup_sim_mat.npz,1579941028,0.8,0.0
93,1,1,1,AI_dataset\wup_sim_mat.npz,903279675,0.8,0.0
94,1,1,1,AI_dataset\wup_sim_mat.npz,1642606361,0.8,0.0
95,5,0,1,AI_dataset\wup_sim_mat.npz,1011848855,0.8,0.0
96,4,0,1,AI_dataset\wup_sim_mat.npz,1262518007,0.8,0.0
97,6,0,1,AI_dataset\wup_sim_mat.npz,967822800,0.8,0.0
98,4,1,1,AI_dataset\wup_sim_mat.npz,1564938191,0.8,0.0
99,3,1,1,AI_dataset\wup_sim_mat.npz,2050123959,0.8,0.0
100,6,0,1,AI_dataset\wup_sim_mat.npz,976493170,0.8,0.001
101,3,1,1,AI_dataset\wup_sim_mat.npz,1898010485,0.8,0.001
102,5,0,1,AI_dataset\wup_sim_mat.npz,903915198,0.8,0.001
103,3,1,1,AI_dataset\wup_sim_mat.npz,154761663,0.8,0.001
104,6,0,1,AI_dataset\wup_sim_mat.npz,2083664959,0.8,0.001
105,3,1,1,AI_dataset\wup_sim_mat.npz,743724488,0.8,0.001
106,4,1,1,AI_dataset\wup_sim_mat.npz,1189909554,0.8,0.001
107,4,0,1,AI_dataset\wup_sim_mat.npz,1553310154,0.8,0.001
108,5,0,1,AI_dataset\wup_sim_mat.npz,650694728,0.8,0.001
109,6,0,1,AI_dataset\wup_sim_mat.npz,1874798004,0.8,0.001
110,5,0,1,AI_dataset\wup_sim_mat.npz,1839367726,0.8,0.001
111,6,1,1,AI_dataset\wup_sim_mat.npz,224504061,0.8,0.001
112,7,1,1,AI_dataset\wup_sim_mat.npz,1668885673,0.8,0.001
113,6,0,1,AI_dataset\wup_sim_mat.npz,592020510,0.8,0.001
114,4,1,1,AI_dataset\wup_sim_mat.npz,639431775,0.8,0.001
115,6,0,1,AI_dataset\wup_sim_mat.npz,2055405236,0.8,0.001
116,4,1,1,AI_dataset\wup_sim_mat.npz,231872003,0.8,0.001
117,7,0,1,AI_dataset\wup_sim_mat.npz,233760283,0.8,0.001
118,2,1,1,AI_dataset\wup_sim_mat.npz,1130850212,0.8,0.001
119,6,0,1,AI_dataset\wup_sim_mat.npz,333423813,0.8,0.001
120,5,0,1,AI_dataset\wup_sim_mat.npz,1982344195,0.8,0.001
121,6,0,1,AI_dataset\wup_sim_mat.npz,1830143886,0.8,0.001
122,2,1,1,AI_dataset\wup_sim_mat.npz,155096627,0.8,0.001
123,7,1,1,AI_dataset\wup_sim_mat.npz,1016797524,0.8,0.001
124,3,1,1,AI_dataset\wup_sim_mat.npz,1769986019,0.8,0.001
125,5,1,1,AI_dataset\wup_sim_mat.npz,238922116,0.8,0.001
126,5,0,1,AI_dataset\wup_sim_mat.npz,1614316044,0.8,0.001
127,3,1,1,AI_dataset\wup_sim_mat.npz,736948582,0.8,0.001
128,5,0,1,AI_dataset\wup_sim_mat.npz,507888607,0.8,0.001
129,4,0,1,AI_dataset\wup_sim_mat.npz,878427418,0.8,0.001
130,4,1,1,AI_dataset\wup_sim_mat.npz,1355625463,0.8,0.001
131,4,1,1,AI_dataset\wup_sim_mat.npz,1556239959,0.8,0.001
132,4,1,1,AI_dataset\wup_sim_mat.npz,1150815332,0.8,0.001
133,4,0,1,AI_dataset\wup_sim_mat.npz,1430297212,0.8,0.001
134,5,1,1,AI_dataset\wup_sim_mat.npz,758589409,0.8,0.001
135,6,0,1,AI_dataset\wup_sim_mat.npz,1904640645,0.8,0.001
136,6,1,1,AI_dataset\wup_sim_mat.npz,969437725,0.8,0.001
137,1,1,1,AI_dataset\wup_sim_mat.npz,451886063,0.8,0.001
138,7,0,1,AI_dataset\wup_sim_mat.npz,2139802173,0.8,0.001
139,8,0,1,AI_dataset\wup_sim_mat.npz,705582344,0.8,0.001
140,8,0,1,AI_dataset\wup_sim_mat.npz,1632436846,0.8,0.001
141,3,1,1,AI_dataset\wup_sim_mat.npz,2141207134,0.8,0.001
142,9,0,1,AI_dataset\wup_sim_mat.npz,1097799373,0.8,0.001
143,5,0,1,AI_dataset\wup_sim_mat.npz,775363239,0.8,0.001
144,6,0,1,AI_dataset\wup_sim_mat.npz,409253677,0.8,0.001
145,3,0,1,AI_dataset\wup_sim_mat.npz,1283367613,0.8,0.001
146,6,1,1,AI_dataset\wup_sim_mat.npz,1532135717,0.8,0.001
147,7,0,1,AI_dataset\wup_sim_mat.npz,712825958,0.8,0.001
148,6,0,1,AI_dataset\wup_sim_mat.npz,800942480,0.8,0.001
149,6,0,1,AI_dataset\wup_sim_mat.npz,1088640420,0.8,0.001
150,5,1,1,AI_dataset\wup_sim_mat.npz,1538431233,0.8,0.001
151,7,1,1,AI_dataset\wup_sim_mat.npz,136528092,0.8,0.001
152,6,1,1,AI_dataset\wup_sim_mat.npz,1400503354,0.8,0.001
153,6,1,1,AI_dataset\wup_sim_mat.npz,1650611845,0.8,0.001
154,5,0,1,AI_dataset\wup_sim_mat.npz,1740998370,0.8,0.001
155,6,1,1,AI_dataset\wup_sim_mat.npz,1764071187,0.8,0.001
156,5,0,1,AI_dataset\wup_sim_mat.npz,1078803046,0.8,0.001
157,4,0,1,AI_dataset\wup_sim_mat.npz,1967073755,0.8,0.001
158,3,1,1,AI_dataset\wup_sim_mat.npz,1600643225,0.8,0.001
159,6,1,1,AI_dataset\wup_sim_mat.npz,404726215,0.8,0.001
160,6,0,1,AI_dataset\wup_sim_mat.npz,1865236308,0.8,0.001
161,7,0,1,AI_dataset\wup_sim_mat.npz,1230070776,0.8,0.001
162,6,1,1,AI_dataset\wup_sim_mat.npz,305601157,0.8,0.001
163,4,1,1,AI_dataset\wup_sim_mat.npz,175956490,0.8,0.001
164,2,1,1,AI_dataset\wup_sim_mat.npz,2061913144,0.8,0.001
165,5,1,1,AI_dataset\wup_sim_mat.npz,1720097726,0.8,0.001
166,4,0,1,AI_dataset\wup_sim_mat.npz,320833972,0.8,0.001
167,6,1,1,AI_dataset\wup_sim_mat.npz,916290066,0.8,0.001
168,7,0,1,AI_dataset\wup_sim_mat.npz,238832035,0.8,0.001
169,4,1,1,AI_dataset\wup_sim_mat.npz,676410673,0.8,0.001
170,2,1,1,AI_dataset\wup_sim_mat.npz,351452732,0.8,0.001
171,7,0,1,AI_dataset\wup_sim_mat.npz,969426297,0.8,0.001
172,6,0,1,AI_dataset\wup_sim_mat.npz,712793384,0.8,0.001
173,5,1,1,AI_dataset\wup_sim_mat.npz,237034194,0.8,0.001
174,7,0,1,AI_dataset\wup_sim_mat.npz,1062517349,0.8,0.001
175,1,1,1,AI_dataset\wup_sim_mat.npz,1423437966,0.8,0.001
176,5,0,1,AI_dataset\wup_sim_mat.npz,1022195236,0.8,0.001
177,7,0,1,AI_dataset\wup_sim_mat.npz,1646262174,0.8,0.001
178,5,0,1,AI_dataset\wup_sim_mat.npz,1026683402,0.8,0.001
179,5,0,1,AI_dataset\wup_sim_mat.npz,2061031886,0.8,0.001
180,2,1,1,AI_dataset\wup_sim_mat.npz,290829504,0.8,0.001
181,6,1,1,AI_dataset\wup_sim_mat.npz,106818500,0.8,0.001
182,4,1,1,AI_dataset\wup_sim_mat.npz,851573124,0.8,0.001
183,4,1,1,AI_dataset\wup_sim_mat.npz,943988437,0.8,0.001
